1946,109,83,84.5,50,69,55.5,451
1947,69,63,61,53,68,60,374
1948,118,80,46,66,165,74,549
1949,71,160,132,58,97,5,523
1950,39,137,133,34,109,25,477
1951,60,66,112,58,53,0,349
1952,67,156,115,105,163,35,641
1953,44,65,112,40,93,57,411
1954,50,107,54,57,101,14,383
1955,37,53,134,129,60,59,472
1956,86,112,103,72,33,54,460
1957,36,50,86,41,97,76,386
1958,74,79.5,83.5,131.5,80,111,559.5
1959,38,47.5,81,107,84.5,28,386
1960,22,39.5,59,155,92,28,395.5
1961,75,40,1,62,113,35,326
1962,46,82.5,86,110,35,42,401.5
1963,31,17,85,39,93,136,401
1964,55,53,108,68,183,99,566
1965,95,141,150,66,44,77,573
1966,69,69,73,103,70,49,433
1967,53,84,168,72,61,106,544
1968,22,131,39,84,70,133.5,479.5
1969,87.5,132.6,113,148,35,50,566.1
1970,56,70,103.5,60.5,79,90,459
1971,79,142,58,73.5,87,42,481.5
1972,64.5,159,94.5,45,47,56.6,466.6
1973,0,122,64.5,77,124,109,496.5
1974,90.9,128.2,104.5,91,45,136,595.6
1975,25.5,146.5,104,88,151,90,605
1976,94,67,74.5,69,93,42,439.5
1977,13.5,17,50.5,73.5,129,31,314.5
1978,53,106.5,99.5,92.5,85,88,524.5
1979,62.5,96,78.5,86,71,94,588
1980,79.5,27,143,112.5,123,29,514
1981,40,34,73,82,110,52,391
1982,47,184,143,85,164,73,696
1983,66,165,75.5,68,150,112.5,637
1984,143.5,244.5,42,104,85,124.5,743.5
1985,112.5,105,44,61.5,99.5,34.5,457
1986,132,62,56,112.7,100,135.7,599
1987,73,12.3,96,73,104,23.5,381.8
1988,30,91,105.1,39.75,115.5,29,410.3
1989,172.5,124.5,70.75,97.5,64.75,52,581.5
1990,76,49,107.5,100.5,84,31,448
1991,109.5,91,82.8,49.7,110.9,136.3,580.2
1992,133.4,57.2,41.8,85,50.1,27.5,395
1993,118.8,119.2,165.3,102.9,63,81.2,650.4
1994,40.7,64.85,122.7,134.05,47.2,80.8,490.3
1995,205.9,73.8,199.7,56.3,128.9,80.7,745.4
1996,57,53,187,104,82,79,562
1997,78.3,164.8,141.5,91,53.8,69.7,599.1
1998,46.3,81.8,128.9,156.6,92.3,69,574.9
1999,76.5,43.1,105.3,98,46.5,89,458.4
2000,30,97,100,119.5,84,15.5,446
2001,88,71,66.2,79.5,53,112,469.7
2002,137,86.1,100.9,53.4,142.2,48.1,567.7
2003,42,78.7,26,84.1,93.8,74.8,399.4
2004,110,151,74.3,130,62,43.5,570.8
2005,62.7,86.4,113.5,77.9,153.6,59.5,553.6
2006,81,132,148,61.5,135,76,633.5
2007,63,51.5,38.5,107,63.5,32.5,356
2008,18,161,186,132,85,72,654
2009,56,107,113,75,114,113,578
2010,22,71.5,88.5,61,60,127,430
2011,82.5,114,42,97.5,100,117,553
2012,52,20,64.5,63,82,48,329.5
2013,61,101,57,56,45,62.5,382.5
2014,31.5,55,64,85.5,70,51.5,357.5
2015,59.5,73.5,28.5,35,24,47,267.5
2016,46,105,97,34,69,42,393
2017,65.7,79,154,113.8,45,73,530.5
2018,15,43,51.5,66,70.5,42,288
2019,46,57.5,95,,,,
