,lake level,ave content,ave inflow,ave outflow
,feet,acre-feet,acre-feet,acre-feet
2018,3604.11,12181561.92,7025.02,12442.63
2017,3616.94,13506530.06,15931.44,12075.68
2016,3604.74,12231653.52,13193.1,12709.75
2015,3601.47,11907775.75,13100.87,12162.85
2014,3593.79,11211927.32,13266.72,10938.7
2013,3595.83,11365804.92,7794.37,11000.57
2012,3628.87,14747787.18,7048.56,11305.1
2011,3635.9,15623871.21,22984.49,18847.5
2010,3628.63,14713747.59,12134.45,11290.31
2009,3626.56,14510099.54,14106.99,11456.85
2008,3612.42,13053619,16966.67,12568.31
2007,3602.38,11984066.36,10479.14,11366.02
2006,3600.83,11843065.91,12534.41,11614.88
2005,3585.86,10551848.45,16001.02,11396.28
2004,3579.88,9947323.81,8224.09,11662.64
2003,3607.89,12528079.97,8687.52,11301.63
2002,3637.87,15792099.05,5522.09,10754.61
2001,3665.32,19205971.64,9245.4,11065.32
2000,3678.11,20988225.79,10395.53,11697.98
1999,3685.45,22078383.41,16792.53,16174.62
1998,3684.95,22008670.95,18271.14,17129.56
1997,3680.55,21385702.44,23755.15,21082.45
1996,3679.1,21134446.08,15267.36,15235.71
1995,3669.13,19853295.35,21779.41,14096.3
1994,3656.76,18076981.12,10140.59,11094.52
1993,3644.78,16733110.82,19029.21,11390.55
1992,3623.88,14185845.02,10196.43,11025.27
1991,3630.32,14892860.58,10643.28,11580.9
1990,3646.14,16756511.54,7357.1,10913.84
1989,3671.58,20071752.44,8300.19,11073.95
1988,3685.41,22061963.63,10878.96,10811.09
1987,3687.55,22395282.65,17513.98,15904.88
1986,3688.47,22529854.92,26398,25819.21
1985,3687.18,22343666.93,24696.79,23326.33
1984,3688.25,22556613.63,30333.58,28065.38
1983,3693.24,23348653.59,28695.53,26497.12
1982,3677.34,21007409.19,17306.28,12454.44
1981,3676.01,20811987,8804.13,10840.49
1980,3684.38,22089895.97,18404.15,15605.27
1979,3660.79,18923804.92,20306.36,11200.6
1978,3635.53,15684762.53,14123.55,12439.59
1977,3646.33,16996637.81,6844.13,10156.96
1976,3665.36,19478171.63,11954.75,12948.06
1975,3659.7,18783231.55,18026.27,12376.79
1974,3654.08,18048800.97,13977.54,12276.08
1973,3625.13,14731541.67,21041.95,12492.49
1972,3610.51,13055411.17,13075.76,12872.62
1971,3610.15,13048364.37,15917.13,12788.38
1970,3587.02,10864590.37,16770.04,11242.33
1969,3563.8,8903372.08,17140.84,12339.21
1968,3534.77,6761020.36,14340.87,12127.08
1967,3521.68,5912477.67,11952.77,10442.49
1966,3534.94,6774878.52,11028.03,10689.29
1965,3511.64,5375684.24,21177.98,16003.62
1964,3453.47,2670744.9,10829.42,4467.7
1963,3409.3,462767.74,7174.29,1200.38
