1,3,3,3,3,1,1,3,3,3,1,
2,1,1,3,1,3,3,3,3,3,1,
3,2,3,2,3,3,3,2,3,1,3,
4,1,3,3,1,3,3,3,3,3,3,
5,3,3,3,3,3,3,2,3,1,1,
6,2,1,3,3,3,3,1,3,3,1,
7,3,3,3,1,3,1,3,3,3,1,
8,1,2,3,1,3,3,2,3,3,3,
9,1,1,3,3,3,2,3,3,3,1,
10,3,3,3,3,2,3,3,1,3,1,
11,2,3,3,2,1,3,3,3,3,3,
12,1,3,3,3,3,3,3,1,3,2,
13,2,2,2,3,3,3,3,3,3,1,
14,1,2,3,3,3,3,3,3,1,3,
15,2,1,3,2,3,3,3,3,3,1,
16,3,3,3,1,2,3,1,3,3,3,
17,3,3,2,3,3,3,3,1,3,1,
18,3,2,2,2,3,3,3,3,3,3,
19,3,1,1,1,3,3,3,2,3,3,
20,3,3,1,2,3,2,3,1,3,3,
21,3,1,3,3,2,3,3,3,1,3,
22,3,2,3,2,3,3,3,1,3,3,
23,3,1,2,2,3,3,1,3,3,3,
24,1,3,1,3,2,3,3,3,3,3,
25,1,3,3,3,3,3,1,1,3,3, 
26,3,2,3,2,3,1,3,3,3,3,
27,1,2,3,3,2,3,3,3,3,3,
28,2,3,3,2,3,3,2,3,3,1,
29,2,2,3,2,3,3,3,3,3,3,
WINNERS,1,2,2,2,2,2,1,1,1,1,
